,Work,School,University,Leisure,Shopping,Accompany,Other
820.0,0.0005177323323841574,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
823.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
825.0,0.001553196997152472,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
829.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
830.0,0.0005177323323841574,0.0,0.0,0.0,0.0,0.0,0.0
833.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
838.0,0.0005177323323841574,0.0,0.0,0.0,0.0,0.0,0.0
840.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
845.0,0.0005177323323841574,0.0,0.0,0.0,0.0,0.0,0.0
850.0,0.001553196997152472,0.00047415836889521106,0.0,0.0004113533525298232,0.0,0.0,0.0
855.0,0.0005177323323841574,0.0,0.0,0.0,0.0,0.0,0.0
860.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
870.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
878.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
879.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
880.0,0.0005177323323841574,0.0,0.0,0.0,0.0,0.0,0.0
885.0,0.0012943308309603936,0.0,0.0,0.0,0.0,0.0,0.0
890.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
895.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
900.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
910.0,0.0005177323323841574,0.0,0.0,0.0,0.0,0.0,0.0
920.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
925.0,0.0002588661661920787,0.0,0.0,0.0004113533525298232,0.0,0.0,0.0
930.0,0.0005177323323841574,0.0,0.0,0.0,0.0,0.0,0.0
935.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
940.0,0.0,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
945.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
950.0,0.0002588661661920787,0.00047415836889521106,0.0,0.0,0.0,0.0,0.0
960.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
970.0,0.0005177323323841574,0.0,0.0,0.0,0.0,0.0,0.0
975.0,0.000776598498576236,0.0,0.0,0.0,0.0,0.0,0.0
990.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
1025.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
1090.0,0.0005177323323841574,0.0,0.0,0.0,0.0,0.0,0.0
1120.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
1140.0,0.0002588661661920787,0.0,0.0,0.0,0.0,0.0,0.0
