emd_zone;iris_zone;activity_amount
014007;673650101;33
014008;673650101;2
014008;673650104;16
014008;673650105;54
015001;674821403;5
015001;674821404;2
015002;674821403;66
015003;674821401;1
015003;674821402;23
015003;674821403;28
015004;673650102;4
015004;674821401;85
015004;674821403;11
015005;674821402;18
015006;674821302;2
015006;674821404;15
015006;674821405;61
015007;674821405;21
015008;674821404;2
015009;674821403;1
015009;674821404;6
015009;674821405;5
016001;674821502;46
016002;674821501;56
016002;674821604;2
016003;674821503;43
016004;674821502;13
016005;674821604;3
016005;674821606;64
016006;674821606;36
016007;674821606;77
016008;674821404;1
016008;674821605;37
016009;674821604;17
016010;674821601;37
016010;674821603;7
016011;674820301;1
016011;674821503;17
017002;671180101;1
017002;673430000;3
017002;674821701;126
017002;674821706;40
017003;674821701;90
017004;674821705;13
017005;674821702;1
017005;674821705;89
017006;674821704;91
017006;674821705;1
017007;674821704;34
017007;674821705;49
017008;674821905;3
017009;674821703;6
017009;674821705;22
017010;673430000;1
017010;674821701;6
017010;674821703;109
017011;674821702;66
017011;674821703;1
017011;674821705;2
017012;674821905;1
018001;674821904;41
018002;674821902;22
018002;674821903;20
018003;674820303;1
018003;674821905;50
018004;674821801;68
018005;674821801;25
018006;674821803;17
018006;674821804;1
018006;674821805;65
018007;674821804;71
018008;674821802;48
018008;674821803;5
018008;674821804;19
018009;674821902;20
018009;674821903;35
018009;674821904;12
018010;674821801;6
018011;674821904;14
018012;674821902;1
018013;674821901;42
018014;674821901;22
019001;674470402;151
019002;674470402;40
019003;674470302;27
019003;674470401;62
019004;674470401;80
019005;674470402;13
019005;674470502;29
019006;674470502;38
019007;674470301;3
019007;674470501;52
019007;674470502;100
019008;674470103;1
019008;674470501;59
019009;673260000;1
019009;674470502;88
019010;672960000;1
019010;674470502;44
019010;674821805;3
019011;674470502;28
019011;674821802;1
019011;674821804;1
020001;674470301;18
020002;674470103;51
020003;674470301;55
020004;674470103;67
020005;674470203;6
020006;674470203;27
