chain_iris_n;index;index;index;index;index;index;index;index;index
;Accompany;Home;Home_getaway;Leisure;Other;School;Shopping;University;Work
671010000;15;18;0;18;1;0;65;0;11
671020000;2;15;0;2;0;0;0;0;0
671030000;6;24;0;5;0;2;1;0;4
671040000;0;0;0;1;0;0;0;0;1
671050000;3;6;0;2;1;3;3;0;8
671060000;16;46;0;16;0;8;8;0;9
671070000;3;8;0;6;0;0;1;0;0
671080000;13;49;0;18;2;2;4;0;25
671090000;0;16;0;0;0;2;2;0;2
671100000;0;5;0;2;0;0;1;0;0
671110000;0;3;0;0;0;0;0;0;0
671120000;3;37;0;7;1;4;6;0;32
671130000;0;8;0;0;0;4;0;0;0
671150000;16;63;0;13;2;4;11;0;3
671160000;0;9;0;6;2;0;0;0;1
671170000;0;4;0;4;0;0;0;0;3
671180101;13;47;0;19;1;3;19;0;44
671180102;33;105;0;36;2;23;13;0;13
671190000;2;19;0;5;0;0;0;0;3
671200000;0;7;0;1;2;0;0;0;6
671210000;2;10;0;2;0;2;0;0;1
671220000;1;35;0;10;0;1;5;0;4
671240000;4;24;1;7;5;0;5;1;31
671250000;15;81;0;27;3;8;14;0;17
671270000;1;13;0;8;2;0;1;0;6
671280000;11;58;0;10;4;6;5;0;15
671290000;2;0;0;2;0;0;0;0;2
671300101;7;36;1;7;1;3;1;0;2
671300102;19;44;0;16;0;7;14;0;13
671300103;11;43;0;20;1;29;28;0;34
671300104;5;41;0;19;0;3;13;0;18
671310000;17;50;0;15;1;24;32;0;17
671320000;0;3;0;2;0;1;1;0;4
671330000;0;10;0;2;0;3;0;0;0
671340000;0;0;0;0;0;2;0;0;0
671350000;1;10;0;0;0;0;1;0;0
671360000;0;3;0;0;0;2;0;0;0
671370000;25;125;2;16;1;18;18;1;31
671380000;0;16;0;5;0;0;1;0;0
671390000;3;13;0;3;0;0;0;0;0
671400000;1;5;0;1;0;0;0;0;1
671410000;3;6;0;0;0;0;0;0;0
671420000;0;6;0;0;0;0;0;0;0
671430000;2;2;0;5;0;2;0;0;1
671450000;1;6;0;0;0;0;0;0;1
671460000;0;9;0;5;2;0;0;0;0
671470000;0;11;0;0;0;0;0;0;1
671480000;2;3;0;1;0;3;0;0;0
671490000;0;1;0;0;0;0;1;0;1
671500000;7;28;0;3;0;10;1;0;5
671510000;10;56;0;20;0;0;15;0;9
671520101;21;76;2;31;5;9;14;1;7
671520102;9;53;0;38;9;2;86;3;61
671530000;0;0;0;2;1;0;0;0;1
671540000;9;28;0;4;2;2;5;0;16
671550000;1;13;0;10;1;0;16;0;2
671560000;9;14;0;3;1;2;2;0;1
671600000;4;12;0;1;1;2;0;0;3
671610000;1;4;0;1;0;1;0;0;0
671620000;0;0;0;0;0;0;0;0;1
671630000;1;11;1;4;0;2;0;0;0
671640000;0;2;0;0;0;0;3;0;0
671650000;0;0;0;1;0;0;0;0;0
671660000;0;5;0;1;0;0;0;0;0
671670000;6;14;2;5;0;4;3;0;4
671680000;3;10;0;5;2;2;2;0;2
671690000;11;33;0;14;0;5;11;0;0
671720000;5;20;0;1;0;2;0;0;4
671730000;1;21;0;1;0;0;6;0;2
671740000;0;5;0;0;0;0;0;0;0
671760000;13;33;0;4;0;10;4;0;7
671770000;0;0;0;1;0;0;0;0;0
671780000;0;0;0;0;4;0;0;0;0
671790000;1;0;0;1;0;0;0;0;0
671800101;65;46;0;60;7;23;55;0;38
671800102;58;32;0;38;3;62;30;0;20
671800201;7;15;0;9;0;3;8;0;6
671800202;6;28;0;9;0;3;1;0;0
671800203;6;65;0;7;0;0;2;0;7
671800204;4;11;0;8;2;1;8;0;18
671800205;10;12;2;20;1;1;48;0;39
671800301;8;36;6;14;1;5;4;0;27
671800302;5;12;1;14;1;2;11;0;8
