chain_iris_n;index;index;index;index;index;index;index;index;index
;Accompany;Home;Home_getaway;Leisure;Other;School;Shopping;University;Work
675070000;18;66;0;21;1;15;31;0;11
675100000;0;2;0;0;0;0;0;0;4
675110000;0;9;0;0;0;0;1;0;6
675140000;0;2;0;0;0;0;0;0;1
675150000;3;0;0;0;0;2;0;0;0
675160000;0;8;0;0;1;0;0;0;1
675170000;4;18;0;3;0;2;2;0;4
675190101;11;62;0;20;1;3;11;0;4
675190102;18;39;0;16;0;4;7;0;21
675200101;59;149;0;39;6;19;38;0;46
675200102;27;35;0;24;3;13;12;0;6
675210000;1;18;0;1;0;0;0;0;4
675230000;7;34;0;14;2;4;4;0;1
675240000;4;9;0;0;0;2;0;0;2
675250000;8;17;0;9;1;2;2;0;4
675260000;0;2;0;1;0;0;0;0;0
675270000;0;1;0;0;0;0;0;0;0
675280000;1;10;0;0;0;2;0;0;0
675290000;9;38;0;23;1;6;6;0;11
675300000;0;13;0;0;0;2;0;0;0
675310000;0;9;0;0;3;0;0;0;0
675320000;4;7;0;2;0;0;3;0;8
675340000;0;10;0;0;0;0;1;0;1
675350000;1;6;0;0;0;1;0;0;0
675360000;0;0;0;2;0;0;0;0;1
675370000;0;0;0;0;0;0;1;0;0
675380000;2;10;0;6;1;5;4;0;1
675390000;4;25;0;3;2;5;0;0;2
675400000;2;10;0;5;0;2;0;0;2
675410000;0;11;0;5;0;0;0;0;0
675430000;9;52;0;3;0;6;0;0;8
675440101;28;6;0;29;0;4;16;0;13
675440102;20;54;0;18;1;4;9;0;9
675440103;7;38;0;12;0;4;7;0;9
675440201;0;9;0;1;0;0;0;0;2
675440202;7;5;0;14;4;6;5;0;16
675450000;0;1;0;4;0;2;0;0;1
675460000;0;3;0;0;0;0;0;0;3
675470000;14;60;3;9;1;2;8;0;7
675480000;9;38;0;3;0;10;1;0;4
675500000;3;7;0;3;1;3;11;0;7
675510000;12;59;0;26;1;4;23;0;18
675520000;0;3;0;0;0;0;0;0;0
675530000;0;2;0;1;0;0;0;0;1
675540000;0;8;0;5;0;0;0;0;2
675550000;4;33;0;0;0;0;0;0;0
675570000;3;17;0;2;0;0;0;0;0
675580000;0;2;0;4;0;1;0;0;3
OUT;63;0;6;148;16;14;172;1;377
