FICHE;SECT1;SECT2;ECH;NUMPERS;O1A1;O1A2;O1A3;O1A4;O1A5;O1A6;O1A7;O2 ;O3A1;O3A2;O3A3;O3A4;O3A5;O3A6;O3A7;O3A8;O3A9;O4 ;O5A1;O5A2;O5A3;O5A4;O5A5;O5A6;O5A7;O6A1;O6A2;O6A3;O7A1;O7A2;O7A3;O8A1;O8A2;O8A3;L20 ;L21;L22;L23;L24 ;L25 ;L26 ;L27 ;L28;L29;L17A1 ;L18A1 ;L18B1 ;L19A1 ;L19B1 ;L17A2 ;L18A2 ;L18B2 ;L19A2 ;L19B2 ;L17A3 ;L18A3 ;L18B3 ;L19A3 ;L19B3 ;L17A4 ;L18A4 ;L18B4 ;L19A4 ;L19B4 ;L17A5 ;L18A5 ;L18B5 ;L19A5 ;L19B5 ;L17A6 ;L18A6 ;L18B6 ;L19A6 ;L19B6 ;L17A7 ;L18A7 ;L18B7 ;L19A7 ;L19B7 ;L17A8 ;L18A8 ;L18B8 ;L19A8 ;L19B8 ;L17A9 ;L18A9 ;L18B9 ;L19A9 ;L19B9 ;L30A1 ;L30A2 ;Coef
5;1;33;99;3;1;1;1;1;1;1;1;4;1;2;1;1;2;1;2;2;2;4;1;1;2;2;1;1;2;24;66;22;3;35;34;17;2;4;1;552;;1530;1;1;5;3;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;149.9744
5;1;5;101;2;1;1;1;2;1;1;1;7;1;1;1;1;2;1;1;1;1;7;1;1;2;1;1;1;1;10;24;;10;20;23;3;39;;1;167;;1483;1;1;5;3;800011;2;2;;;;;2;;;;;1;7;17;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;14;5;4;;;;115.982
5;1;4;103;1;1;1;1;2;1;1;1;1;1;2;1;3;3;2;2;2;2;1;1;1;1;1;1;2;1;3;10;22;2;27;38;3;2;17;2;;999;1483;2;2;;;;;2;;;;;2;;;;;1;1;4;4;;1;1;4;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;12;;111.7186
5;1;41;105;1;1;1;1;2;1;2;1;1;1;1;1;1;2;2;1;2;1;7;1;1;2;2;1;1;2;1;3;6;2;10;27;2;4;8;2;;999;1483;2;1;5;4;700099;2;2;;;;;2;;;;;1;1;18;4;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;7;128.2149
5;1;34;106;1;1;1;1;1;1;1;1;6;1;1;1;1;2;1;1;2;1;3;2;1;2;1;1;1;1;1;10;24;2;3;11;11;3;17;2;;999;1530;1;1;5;4;800011;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;988;464;4;;1;988;464;1;;2;;;;;2;;;;;;;128.2149
5;1;30;107;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;4;1;1;1;1;1;1;1;1;10;7;3;10;2;12;15;17;2;;999;1530;3;1;5;3;800013;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;1;1;25;4;;2;;;;;1;;111.7186
5;1;34;109;3;1;2;2;2;1;2;1;1;1;2;2;2;2;1;2;2;1;9;2;1;2;2;1;2;2;3;6;11;3;4;10;17;17;11;2;;999;1530;3;1;5;3;700999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;128.2149
5;1;39;111;1;1;1;1;1;2;1;1;7;2;2;1;1;2;2;2;2;2;4;1;1;2;1;1;1;1;24;90;;3;90;2;3;4;17;2;;999;1483;1;1;5;4;700999;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;;;111.7186
5;1;19;112;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;1;1;1;3;1;28;10;24;3;21;29;3;2;;999;1483;1;1;5;4;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;11;3;111.7186
5;1;28;113;2;1;1;1;1;1;1;1;4;2;1;1;1;1;1;2;2;2;6;1;1;2;2;1;1;1;24;22;7;10;34;22;4;2;25;1;1048;;1530;3;1;5;3;700109;2;2;;;;;2;;;;;2;;;;;2;;;;;1;1;31;5;;2;;;;;1;1;28;1;;2;;;;;1;1;28;1;;9;12;115.982
