FICHE;SECT1;SECT2;ECH;NUMPERS;P2;P3;P4;P5;P6;P7;P8;P9;P10;Codif_PCS;P14;P15SECTEUR;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P1;P12A1;P12B1;P13A1;P12A2;P12B2;P13A2;P12A3;P12B3;P13A3;L10;L11;L12;P24A;P24B;Coef
2;01;029;057;01;1;1;50;1;1;1;3;1;0;46;2;032012;1;4;;4;2;1;5;4;4;1;1;5;;;;;;;;;;76;2;5;4;111.7186
2;01;029;057;02;2;2;46;1;2;1;2;8;0;82;;;;;;5;5;1;2;3;3;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;022;058;01;2;1;66;1;2;1;2;7;0;55;;;;;;5;5;2;3;5;4;1;1;5;;;;;;;;;;;;5;5;115.7969
2;01;004;059;01;2;1;22;1;1;2;2;8;0;82;;;;;;2;5;5;2;4;4;1;1;5;;;;;;;;;;;;4;4;111.7186
2;01;004;059;02;1;3;02;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;111.7186
2;01;024;061;01;1;1;53;1;1;1;2;1;0;48;2;001023;1;2;;4;5;1;5;4;4;1;1;5;;;;;;;;;;89;3;5;5;115.9820
2;01;024;061;02;2;2;51;1;2;1;2;6;0;41;;;;;;4;5;3;2;4;4;1;1;5;;;;;;;;;;;;5;5;115.9820
2;01;024;061;03;1;3;28;1;1;1;5;1;0;32;2;968205;;;;;;;;;;2;2;5;;;;;;;;;;;;;;115.9820
2;01;021;063;01;1;1;43;1;1;1;3;1;0;36;2;027008;1;3;;3;5;1;4;4;4;1;1;5;;;;;;;;;;85;6;4;5;128.2149
2;01;021;063;02;2;2;40;1;1;1;6;1;0;41;2;060041;1;3;;2;5;1;4;3;3;1;1;5;;;;;;;;;;06;3;5;5;128.2149
2;01;021;063;03;2;3;12;2;2;2;0;5;0;84;2;001022;;;;1;5;5;2;3;3;1;1;5;;;;;;;;;;;;5;5;128.2149
2;01;021;063;04;2;3;09;2;2;2;0;5;0;83;2;001022;;;;1;5;5;2;3;3;3;2;5;;;;;;;;;;;;5;5;128.2149
2;01;026;064;01;2;1;81;2;2;2;8;7;0;66;;;;;;5;5;5;1;5;5;1;1;5;;;;;;;;;;;;5;5;115.7969
2;01;006;066;01;2;1;48;1;1;1;2;2;0;55;2;700099;1;3;;5;5;1;3;5;5;1;1;5;;;;;;;;;;99;3;5;5;115.9820
2;01;006;066;02;2;3;24;1;1;1;5;3;0;55;2;062009;1;1;;5;5;1;2;4;4;1;1;5;;;;;;;;;;;;5;5;115.9820
2;01;006;066;03;2;3;20;1;1;2;3;1;0;61;2;001014;3;;3;4;1;5;2;4;4;1;1;5;;;;;;;;;;08;3;5;5;115.9820
2;01;040;067;01;1;1;24;1;1;1;2;1;0;61;2;001040;2;;3;1;2;2;3;5;5;1;1;5;;;;;;;;;;00;3;5;5;111.7186
2;01;040;067;02;2;2;21;1;1;1;2;1;0;55;2;060006;1;3;;5;5;1;2;5;4;1;1;5;;;;;;;;;;08;3;5;4;111.7186
2;01;005;068;01;1;1;63;1;1;1;2;7;1;36;;;;;;2;5;1;5;5;5;1;1;5;;;;;;;;;;;;5;5;115.7969
2;01;012;069;01;1;1;74;1;2;1;3;7;0;47;;;;;;4;5;2;2;5;3;2;1;5;;;;;;;;;;;;4;4;111.7186
2;01;012;069;02;2;2;72;1;2;1;3;7;0;41;;;;;;5;5;2;2;5;3;2;1;5;;;;;;;;;;;;4;4;111.7186
2;01;022;070;01;1;1;24;1;1;2;2;1;0;48;2;010014;3;;3;2;5;5;1;4;4;1;1;5;;;;;;;;;;08;3;4;5;128.2149
2;01;022;070;02;2;2;24;1;2;1;2;6;0;61;;;;;;5;5;1;5;4;4;1;1;5;;;;;;;;;;;;4;5;128.2149
2;01;022;070;03;2;3;03;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;128.2149
2;01;022;070;04;2;3;01;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;128.2149
