FICHE;DATEJJ;DATEMM;DATEAA;SECT1;SECT2;ECH;JOURSEM_DEP;M1;M2;M3;M4;M5;M6;M7A1 ;M8A1;M9A1;M10A1;M11A1 ;M12A1 ;M13A1 ;M7A2 ;M8A2;M9A2;M10A2;M11A2 ;M12A2 ;M13A2 ;M7A3 ;M8A3;M9A3;M10A3;M11A3 ;M12A3 ;M13A3 ;M7A4 ;M8A4;M9A4;M10A4;M11A4 ;M12A4 ;M13A4 ;Coef;L1 ;L2 ;L3 ;L4 ;L5A1 ;L32A1 ;L5A2;L32A2 ;L5A3 ;L32A3 ;L5A4 ;L32A4 ;L6 ;L7 ;L8 ;L9 ;L31 ;R1 ;R2 ;R3 ;R4 
1;13;05;09;60;038;019;2;1;1;1;1;1;2;1;1;1996;07;1;1;2;3;3;2006;05;2;1;2;;;;;;;;;;;;;;;115.0472;1;;3;2001;2001;2;2007;2;;;;;2;4;;;05;;;;
1;01;04;09;60;004;020;2;1;1;1;1;1;2;1;1;2005;07;1;1;2;1;1;2004;05;1;1;2;;;;;;;;;;;;;;;115.0472;1;;2;1979;2005;2;2004;2;;;;;3;4;;;11;;;000185;
1;06;05;09;60;044;021;2;2;6;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119.2470;2;;3;1958;;;;;;;;;1;2;1;3;11;;;;
1;05;05;09;60;029;024;1;1;2;1;1;2;2;1;3;2006;07;1;1;2;1;1;2002;04;1;1;2;;;;;;;;;;;;;;;132.0350;2;13;3;2006;2007;2;2003;2;;;;;5;4;;;11;000800;;000250;
1;19;03;09;60;050;025;3;1;1;1;1;2;1;1;1;2001;06;1;1;2;;;;;;;;;;;;;;;;;;;;;;119.2470;2;;1;1974;2001;2;;;;;;;1;4;;;05;;;;
1;26;03;09;60;052;028;3;1;2;1;1;1;2;1;3;2001;05;1;1;2;1;1;2005;06;1;1;2;;;;;;;;;;;;;;;119.4376;1;15;2;2001;2002;2;2007;2;;;;;3;4;;;07;000595;;000400;
1;17;04;09;60;021;030;4;1;2;1;1;1;2;3;3;2001;05;1;1;2;1;3;2002;06;1;1;2;;;;;;;;;;;;;;;154.4428;2;20;3;1992;2008;2;2005;2;;;;;5;4;;;06;000800;;;000130
1;18;03;09;60;047;033;2;1;1;1;1;1;1;1;1;1999;05;1;1;2;;;;;;;;;;;;;;;;;;;;;;115.0472;1;;1;1959;2006;2;;;;;;;2;4;;;04;;;;
1;12;03;09;60;014;036;3;1;1;1;1;2;1;1;3;2003;13;1;1;2;;;;;;;;;;;;;;;;;;;;;;119.2470;2;;2;1981;2008;2;;;;;;;2;4;;;05;;;000250;
1;16;04;09;60;043;037;3;1;2;1;2;1;1;1;3;2005;07;1;1;2;;;;;;;;;;;;;;;;;;;;;;115.0472;2;20;2;2001;2008;2;;;;;;;2;2;1;4;08;001000;;000400;000200
