nom_etabli,size,adresse,code_posta,DEPCOM,NOM_COM,IRIS,DCOMIRIS,NOM_IRIS,TYP_IRIS
COLLEGE LE RIED,593,4 rue DU GUIRBADEN,67800,67204,Hoenheim,102,672040102,Centre,H
COLLEGE DU PARC,415,5 rue DU PARC,67400,67218,Illkirch-Graffenstaden,103,672180103,Ouest,H
ETAB.REGIONAL ENSEIGNT ADAPTE EREA HENRI EBEL,189,34 rue SODBRONN,67400,67218,Illkirch-Graffenstaden,201,672180201,Est,H
LPO LYCEE DES METIERS LE CORBUSIER,1279,15 rue LIXENBUHL,67400,67218,Illkirch-Graffenstaden,201,672180201,Est,H
LPO LYCEE DES METIERS GUTENBERG,365,22 rue LIXENBUHL,67400,67218,Illkirch-Graffenstaden,201,672180201,Est,H
ECOLE SECONDAIRE PRIVEE SELMAN ASAN,59,2 rue HANNONG,67380,67267,Lingolsheim,302,672670302,Sud Ouest,H
COLLEGE GALILEE,477,1 rue JEAN ROSTAND,67380,67267,Lingolsheim,203,672670203,Sud Est,H
COLLEGE REMBRANDT BUGATTI,633,1 place LA ROYALE BUGATTI,67120,67300,Molsheim,104,673000104,Sud Ouest,H
LP LYCEE DES METIERS PAUL EMILE VICTOR,253,1 A avenue DE GAIL,67210,67348,Obernai,104,673480104,Est,H
COLLEGE EUROPE,536,33 avenue DES CHAMPS VERTS,67210,67348,Obernai,102,673480102,Nord,H
COLLEGE MARTIN SCHONGAUER,515,1 rue ALBERT GERIG,67540,67365,Ostwald,102,673650102,Est,H
COLLEGE FRANCOISE DOLTO,474,14 rue DU CERF,67110,67388,Reichshoffen,102,673880102,Sud,H
COLLEGE POINCARE,443,17 rue POINCARE,67700,67437,Saverne,104,674370104,Centre,H
COLLEGE ROUGET DE LISLE,784,1 rue DU BEARN,67300,67447,Schiltigheim,102,674470102,Est,H
ECOLE SECONDAIRE PROF.PRIVEE EUROPEENNE DE BEAUTE,96,3 rue DE TURENNE,67300,67447,Schiltigheim,402,674470402,Centre Nord Ouest,H
COLLEGE LECLERC,547,9 avenue DU 23 NOVEMBRE,67300,67447,Schiltigheim,402,674470402,Centre Nord Ouest,H
COLLEGE JEAN MENTEL,742,4 avenue ADRIEN ZELLER,67600,67462,Sélestat,105,674620105,Centre Sud,H
LYCEE POLYVALENT JEAN-BAPTISTE SCHWILGUE,1133,8 avenue ADRIEN ZELLER,67604,67462,Sélestat,105,674620105,Centre Sud,H
LP LYCEE DES METIERS ET CFA SCHWEISGUTH,500,6 avenue SCHWEISGUTH,67606,67462,Sélestat,103,674620103,Centre Ouest,H
COLLEGE LES SEPT ARPENTS,504,RUE DU COLLEGE,67460,67471,Souffelweyersheim,101,674710101,Ouest,H
COLLEGE HANS ARP,592,16 rue VAN EYCK,67200,67482,Strasbourg,1302,674821302,Elsau Ouest,H
COLLEGE LEZAY MARNESIA,535,16 rue DU POITOU,67100,67482,Strasbourg,2601,674822601,Canardiere Ouest Ouest,H
LYCEE GEN ECOLE LIBRE SAINTE-ANNE,38,Route du Polygone,67100,67482,Strasbourg,1206,674821206,Neudorf Ouest Centre,H
LYC GEN TECH PRIVE DES METIERS INSTITUTION SAINTE CLOTILDE,815,19 rue DE VERDUN,67083,67482,Strasbourg,801,674820801,Foret Noire Est,H
LYCEE PROF PRIVE des METIERS INSTITUTION STE CLOTILDE,377,19  RUE DE VERDUN,67083,67482,Strasbourg,801,674820801,Foret Noire Est,H
COLLEGE FUSTEL DE COULANGES,568,4 rue JACQUES PEIROTES,67000,67482,Strasbourg,1102,674821102,Krutenau Centre Est,H
COLLEGE STOCKFELD,586,71 rue DES JESUITES,67100,67482,Strasbourg,3002,674823002,Stockfeld Ouest,H
COMPAGNIE DE FORMATION PIGIER -,64,15  RUE DES MAGASINS,67000,67482,Strasbourg,401,674820401,Poincare Ouest,H
COLLEGE LOUIS PASTEUR,604,Allee COLETTE BESSON,67100,67482,Strasbourg,1205,674821205,Neudorf Ouest Nord-Ouest,A
COLLEGE JACQUES TWINGER,654,10 rue OVIDE,67200,67482,Strasbourg,1606,674821606,Koenigshoffen Ouest Centre-Est,H
LYCEE GENERAL ET TECHNOLOGIQUE LOUIS PASTEUR,1031,24 rue HUMANN,67085,67482,Strasbourg,204,674820204,Petite France Sud,H
ECOLE 2D DEGRE GENERAL PRIVEE LYCEE PRIVE YUNUS EMRE,63,14 rue THOMAS MANN,67200,67482,Strasbourg,1704,674821704,Hautepierre Sud Est,H
ECOLE SECONDAIRE PRIVEE YUNUS EMRE,51,14 rue THOMAS MANN,67200,67482,Strasbourg,1704,674821704,Hautepierre Sud Est,H
COLLEGE FRANCOIS TRUFFAUT,597,80 avenue RACINE,67200,67482,Strasbourg,1705,674821705,Hautepierre Centre,A
LYCEE POLYVALENT MARCEL RUDLOFF,1138,21 avenue FRANCOIS MITTERRAND,67200,67482,Strasbourg,1603,674821603,Koenigshoffen Ouest Nord-Ouest,H
ECOLE SECONDAIRE PRIVEE BETH HANNA,27,59  RUE DU FAUBOURG DE PIERRE,67000,67482,Strasbourg,402,674820402,Poincare Est,H
ECOLE SECONDAIRE PRIVEE BETH HANNA,87,59  RUE DU FAUBOURG DE PIERRE,67000,67482,Strasbourg,402,674820402,Poincare Est,H
ECOLE 2D DEGRE PROF.PRIVEE EC.PRIVEE CARRIERES DE LA MODE,94,1 BIS RUE DE LA COURSE,67000,67482,Strasbourg,304,674820304,Gare Centre,H
COLLEGE LOUISE WEISS,668,68 rue SAINT ALOISE,67100,67482,Strasbourg,2404,674822404,Neudorf Sud Nord,H
COLLEGE SOLIGNAC,371,16 rue LOUIS BRAILLE,67100,67482,Strasbourg,2804,674822804,Polygone Ouest,H
COLLEGE PRIVE NOTRE DAME DE SION,667,8  BOULEVARD DE LA DORDOGNE,67000,67482,Strasbourg,702,674820702,Orangerie Ouest,H
ECOLE SECONDAIRE PRIVEE CENTRE ESHEL,57,23 rue SELLENICK,67000,67482,Strasbourg,502,674820502,Kable Sud Est,H
