,code_emd,CODE_IRIS,AREA,PERCENTAGE,Home,persons_EMD,persons_IRIS
479,006007,671310000,98666.0631085,100.99876222,0,0.0,0.0
480,006008,671370000,2072013.14093,97.68507565659999,0,0.0,0.0
481,006008,671520101,35464.1746748,1.6719587910799998,0,0.0,0.0
483,006008,672680000,6348.30446511,0.29929086341999994,0,0.0,0.0
482,006008,671520102,8487.46834218,0.40014176105,0,0.0,0.0
484,006009,671370000,682931.225046,94.2600054248,006009,18.0,17.0
486,006009,672680000,9708.0714886,1.33993415094,006009,18.0,0.0
485,006009,672170000,29728.2571811,4.10317405384,006009,18.0,1.0
487,006010,671370000,621236.239426,99.711920029,006010,19.0,19.0
488,006010,672180101,1096.76057317,0.17603625741999998,006010,19.0,0.0
489,006011,671370000,626739.564447,96.7095458209,006011,13.0,13.0
490,006011,672170000,20531.8532196,3.1681839034400006,006011,13.0,0.0
493,006012,672170000,2411.96906569,0.35407925643,006012,19.0,0.0
491,006012,671310000,12714.5965874,1.8665143635099999,006012,19.0,0.0
492,006012,671370000,667742.246277,98.02517014440001,006012,19.0,19.0
494,006013,671370000,782122.87268,100.049452359,0,0.0,0.0
496,006014,671520102,3319.10115052,0.52310638709,0,0.0,0.0
497,006014,672180101,1154.95527954,0.18202653554,0,0.0,0.0
495,006014,671370000,632006.857793,99.6073361447,0,0.0,0.0
501,006015,672680000,3644879.32655,98.697607485,0,0.0,0.0
499,006015,671520101,6881.75101296,0.1863470089,0,0.0,0.0
500,006015,671970000,38543.2941385,1.04369186885,0,0.0,0.0
498,006015,671370000,8456.55361069,0.22899018984000002,0,0.0,0.0
502,006016,672680000,317920.415662,100.72541879,006016,2.0,2.0
503,006017,672680000,262238.660693,98.6751535759,006017,5.0,5.0
504,006018,672680000,351598.70847,99.9999999999,006018,4.0,4.0
506,006019,672680000,314081.24094,96.0033988359,0,0.0,0.0
505,006019,671370000,11584.5747251,3.54099004561,0,0.0,0.0
508,006020,673360000,12157.8290218,0.08673177962000002,006020,2.0,0.0
507,006020,671310000,40068.0875204,0.28583857614,006020,2.0,0.0
509,006020,673780000,13975078.0062,99.69570912629999,006020,2.0,2.0
510,006021,673780000,573892.319363,100.314830114,006021,14.0,14.0
511,006022,673780000,762914.781749,100.08341034799999,006022,5.0,5.0
513,006023,673780000,410090.013114,96.41208697379999,0,0.0,0.0
512,006023,671310000,15384.9217762,3.6169922917900004,0,0.0,0.0
514,006024,673780000,798389.059469,99.827599779,006024,16.0,16.0
518,007001,671120000,6447.82904585,0.06311037771000001,007001,19.0,0.0
515,007001,670450000,1424.17465212,0.013939606580000001,007001,19.0,0.0
519,007001,671240000,15988.3082353,0.15649114835,007001,19.0,0.0
520,007001,671520101,18366.4653085,0.17976819091,007001,19.0,0.0
517,007001,671080000,4446.78849756,0.04352449478999999,007001,19.0,0.0
516,007001,670490000,10159429.8995,99.4389667811,007001,19.0,19.0
521,007001,672230000,17106.4531308,0.16743538185,007001,19.0,0.0
523,007002,671080000,23832.0931924,0.6254956781000001,0,0.0,0.0
522,007002,670490000,27022.8276824,0.70923950275,0,0.0,0.0
525,007002,671520101,10716.0158781,0.28125190532,0,0.0,0.0
524,007002,671240000,3752488.28563,98.48758083620001,0,0.0,0.0
526,007003,671240000,680086.785513,100.0,007003,8.0,8.0
527,007004,671240000,549604.163423,99.9999999999,007004,9.0,9.0
531,007005,672120000,1590.04806199,0.06611747739,0,0.0,0.0
529,007005,671240000,2365484.71793,98.36173263200001,0,0.0,0.0
530,007005,671820000,1781.36928471,0.07407300837,0,0.0,0.0
528,007005,671080000,34085.827915,1.4173590158899998,0,0.0,0.0
532,007006,671240000,83038.838474,94.9664265937,0,0.0,0.0
533,007006,672120000,2654.35182449,3.0356193839700003,0,0.0,0.0
536,007007,672670302,8755.4864466,1.06852605827,0,0.0,0.0
535,007007,672120000,1364.05084568,0.16646977667,0,0.0,0.0
534,007007,671240000,810055.617312,98.8597882056,0,0.0,0.0
540,007008,671520101,11550623.6952,73.2186880572,0,0.0,0.0
543,007008,672670302,9437.99447384,0.059826862300000005,0,0.0,0.0
537,007008,670490000,62888.8644217,0.39864861568000004,0,0.0,0.0
539,007008,671370000,44934.1991113,0.28483510455,0,0.0,0.0
542,007008,671970000,938.9247420969999,0.005951785770000001,0,0.0,0.0
538,007008,671240000,21852.2952968,0.13852034615999997,0,0.0,0.0
544,007008,672680000,19710.4446051,0.12494328730999998,0,0.0,0.0
541,007008,671520102,4063868.02366,25.760607650500003,0,0.0,0.0
545,007009,671520101,910239.57246,99.9999999999,007009,22.0,22.0
546,007010,671520101,390913.212043,99.9999999998,007010,6.0,6.0
547,007011,671520101,491063.888542,100.0,007011,11.0,11.0
548,007012,671520102,382867.389647,99.99313138030001,007012,13.0,13.0
549,007013,671520102,436195.757576,100.01219285100001,007013,12.0,12.0
550,007014,671520102,454967.188173,99.99409283940001,007014,4.0,4.0
551,007015,671520102,569942.69921,100.024073505,0,0.0,0.0
553,007016,673650101,4728.71325018,0.63618350864,0,0.0,0.0
552,007016,671520102,742268.243057,99.8620111297,0,0.0,0.0
555,007017,672180103,5972.12848218,2.85966423773,0,0.0,0.0
554,007017,671520102,200204.97192,95.865150946,0,0.0,0.0
556,007018,671520102,440742.416791,100.0,0,0.0,0.0
557,007019,671520102,547837.174712,98.62128566870001,0,0.0,0.0
558,007019,672180103,6785.42991138,1.22150860249,0,0.0,0.0
560,007020,671520102,96441.2104251,96.1428702494,0,0.0,0.0
559,007020,671370000,470.65253466400003,0.4691965745100001,0,0.0,0.0
561,007021,671520101,26893.0188885,4.48811742072,0,0.0,0.0
562,007021,671520102,565552.677591,94.38385609139999,0,0.0,0.0
563,007021,672670302,8511.24822388,1.4204237011899998,0,0.0,0.0
568,007022,672670102,3704.14696598,0.07128206432,0,0.0,0.0
570,007022,675510000,8761.96983014,0.16861407032,0,0.0,0.0
565,007022,671240000,55671.6478368,1.0713370766099999,0,0.0,0.0
569,007022,672670301,9343.11496406,0.17979754257,0,0.0,0.0
566,007022,671820000,17657.1295552,0.33979122756999997,0,0.0,0.0
567,007022,672120000,5094598.27817,98.03970670780001,0,0.0,0.0
564,007022,670010000,12423.5028984,0.239076079,0,0.0,0.0
571,007023,672120000,173533.128532,100.0,0,0.0,0.0
572,007024,672120000,369954.983563,99.9999999997,007024,14.0,14.0
573,007025,672120000,278103.326393,99.99999999959999,007025,5.0,5.0
574,007026,672120000,485290.398087,100.15366615100001,007026,6.0,6.0
575,007027,672120000,399232.79896,99.293380746,0,0.0,0.0
581,008001,675510000,18400.6063621,0.66376526671,008001,1.0,0.0
579,008001,673430000,21821.7967239,0.78717790259,008001,1.0,0.0
578,008001,672670102,3797.31439331,0.13698056202,008001,1.0,0.0
577,008001,671180102,2042547.74117,73.6808461369,008001,1.0,1.0
576,008001,671180101,675051.086999,24.3511249569,008001,1.0,0.0
580,008001,674821404,11335.5421435,0.40890713089,008001,1.0,0.0
582,008002,671180102,325635.55868,99.84086096690001,008002,23.0,23.0
583,008002,674821606,1140.48730543,0.34967690555,008002,23.0,0.0
584,008003,671180102,322163.019516,100.072039943,008003,13.0,13.0
586,008004,671180102,256881.025695,44.689926432,008004,19.0,8.0
585,008004,671180101,316091.147399,54.990788381,008004,19.0,10.0
589,008005,674821403,609.2759715990001,0.29687212699,008005,4.0,0.0
588,008005,672670101,1457.80758402,0.71032251128,008005,4.0,0.0
587,008005,671180102,203037.908105,98.931023786,008005,4.0,4.0
590,008006,671180101,452790.632017,99.2636084228,008006,3.0,3.0
591,008007,671180102,137676.905373,99.0870933384,0,0.0,0.0
592,008008,671180101,232689.155372,98.6662715616,008008,11.0,11.0
593,008008,674821603,3986.13871573,1.69022679368,008008,11.0,0.0
594,008009,671180101,236713.07376,98.3769688529,0,0.0,0.0
595,008009,673430000,3669.24802379,1.5249242165399999,0,0.0,0.0
596,008030,670010000,33847.9251285,0.49803183323,0,0.0,0.0
601,008030,675510000,7499.81007078,0.11035075693,0,0.0,0.0
600,008030,673500000,6717057.911889999,98.8334928383,0,0.0,0.0
598,008030,672260000,36044.4265445,0.5303507308500001,0,0.0,0.0
599,008030,673430000,674.562114801,0.009925376679999999,0,0.0,0.0
597,008030,670970000,342.436119997,0.00503853893,0,0.0,0.0
602,008031,673500000,411771.557367,99.66564106950001,008031,13.0,13.0
603,008032,673500000,452681.825594,100.0,008032,19.0,19.0
606,008033,673430000,14882.6395105,0.35145844048,008033,3.0,0.0
608,008033,675510000,4081010.58316,96.3744108783,008033,3.0,3.0
604,008033,671180101,14535.3520552,0.34325713267999997,008033,3.0,0.0
605,008033,671180102,36819.0305658,0.8694935500900001,008033,3.0,0.0
607,008033,673500000,92036.1769507,2.1734646731200002,008033,3.0,0.0
609,008034,675510000,325514.511748,99.99999999959999,008034,7.0,7.0
610,008035,675510000,113110.924255,100.121623605,008035,7.0,7.0
611,008036,675510000,298023.541238,100.0,008036,6.0,6.0
612,008037,671180102,30117.8376353,6.315534177769999,008037,15.0,1.0
613,008037,675510000,446824.078392,93.6963925732,008037,15.0,14.0
614,008038,675510000,219925.201723,99.1395802364,0,0.0,0.0
615,008039,671180101,78391.7375538,91.1261810995,0,0.0,0.0
616,008039,674821701,9584.33556271,11.1412749029,0,0.0,0.0
620,009001,673610000,38855.7450732,0.5149661639299999,009001,12.0,0.0
621,009001,675060101,14064.8785095,0.18640580739,009001,12.0,0.0
617,009001,670340000,21885.5489962,0.29005536223,009001,12.0,0.0
619,009001,671190000,7452814.04347,98.7742495011,009001,12.0,12.0
618,009001,670670103,19489.9347613,0.25830561016,009001,12.0,0.0
624,009002,673090101,5918.50865512,0.11325674978,0,0.0,0.0
623,009002,672560000,5134764.52732,98.25899988459999,0,0.0,0.0
625,009002,673750000,23924.2445271,0.45781502301000004,0,0.0,0.0
627,009002,675060102,21601.7740819,0.41337216259000004,0,0.0,0.0
626,009002,674950000,18130.7523423,0.34695059196,0,0.0,0.0
622,009002,670340000,26839.109537,0.51359396266,0,0.0,0.0
628,009003,672560000,299638.847098,100.15020346700001,0,0.0,0.0
629,009004,672560000,351356.896403,100.0,009004,14.0,14.0
630,009005,672560000,392213.867182,100.0,009005,4.0,4.0
631,009006,672560000,118639.082811,90.92372077520001,009006,2.0,2.0
632,009006,673090102,10686.413579,8.18995276532,009006,2.0,0.0
633,009007,672560000,126523.223192,100.014207246,009007,6.0,6.0
635,009008,673090101,3167.93696886,1.13145924171,0,0.0,0.0
634,009008,672560000,276154.440337,98.63122174709999,0,0.0,0.0
637,009009,673090101,251700.372234,16.8628759402,0,0.0,0.0
