DCOMIRIS,HOSPITALm2,Sum of HOSPITAL_employee,HOSPITAL_customer,FITNESS_m2,FITNESS_employee,FITNESS_customers,PUBS_m2,PUBS_employee,PUBS_employee2,PUBS_customers,CINEMA_m2,CINEMA_employee,CINEMA_customers,MUSEUM_m2,MUSEUM_employee,MUSEUM_customers,SUM_lesiure,size
673260000,,0,0.0,,0.0,0.0,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,262.4,263
673270000,,0,0.0,46.5,1.0,10.5,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,10.5,11
673280000,,0,0.0,,0.0,0.0,135.6,2.5,2.5,222.4,,0.0,0.0,,0.0,0.0,222.4,223
673290000,,0,0.0,1784.1,20.5,401.4,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,401.4,402
673300000,,0,0.0,,0.0,0.0,388.2,7.3,7.3,636.6,,0.0,0.0,,0.0,0.0,636.6,637
673310000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673330000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673340000,,0,0.0,,0.0,0.0,211.5,4.0,4.0,346.9,,0.0,0.0,,0.0,0.0,346.9,347
673350000,,0,0.0,258.5,2.1,58.2,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,58.2,59
673360000,,0,0.0,,0.0,0.0,131.6,2.5,2.5,215.9,,0.0,0.0,,0.0,0.0,215.9,216
673370000,,0,0.0,80.8,2.0,18.2,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,18.2,19
673380000,,0,0.0,,0.0,0.0,80.4,1.5,1.5,131.9,,0.0,0.0,,0.0,0.0,131.9,132
673390000,,0,0.0,3855.7,32.7,867.5,57.7,1.1,1.1,94.7,,0.0,0.0,,0.0,0.0,962.2,963
673400000,,0,0.0,12.7,1.0,2.9,245.0,5.4,5.4,401.8,,0.0,0.0,,0.0,0.0,404.7,405
673410000,,0,0.0,94.7,1.0,21.3,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,21.3,22
673420000,,0,0.0,,0.0,0.0,640.0,12.0,12.0,1049.6,,0.0,0.0,,0.0,0.0,1049.6,1050
673430000,,0,0.0,1141.0,9.1,256.7,480.0,9.0,9.0,787.2,,0.0,0.0,,0.0,0.0,1043.9,1044
673440000,,0,0.0,119.7,1.0,26.9,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,26.9,27
673450000,,0,0.0,445.3,3.6,100.2,62.1,1.2,1.2,101.8,,0.0,0.0,,0.0,0.0,202.0,202
673460000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673470000,,0,0.0,494.9,4.0,111.4,480.0,9.0,9.0,787.2,,0.0,0.0,443.4,7.4,88.7,987.2,988
673480101,,0,0.0,2116.4,20.0,476.2,231.0,5.0,5.0,378.9,,0.0,0.0,,0.0,0.0,855.1,856
673480102,,0,0.0,468.5,8.1,105.4,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,367.8,368
673480103,7531.2,102.3441181,264.4,19.6,1.0,4.4,2760.1,54.6,54.6,4526.6,,0.0,0.0,,0.0,0.0,4531.0,4531
673480104,,0,0.0,1266.7,10.4,285.0,174.0,4.0,4.0,285.4,,0.0,0.0,,0.0,0.0,570.4,571
673480105,14097.6,183.2688559,493.4,7202.6,60.7,1620.6,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,1883.0,1883
673490000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673500000,,0,0.0,1798.0,14.5,404.5,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,929.3,930
673510000,,0,0.0,,0.0,0.0,251.1,5.3,5.3,411.8,,0.0,0.0,,0.0,0.0,411.8,412
673520000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673530000,,0,0.0,,0.0,0.0,405.8,7.6,7.6,665.5,,0.0,0.0,,0.0,0.0,665.5,666
673540000,,0,0.0,110.0,1.0,24.8,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,24.8,25
673550000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673560000,,0,0.0,317.2,3.8,71.4,452.2,8.5,8.5,741.6,,0.0,0.0,,0.0,0.0,812.9,813
673580000,,0,0.0,74.2,2.0,16.7,,0.0,0.0,0.0,,0.0,0.0,62.9,2.0,12.6,29.3,30
673590000,,0,0.0,66.2,1.0,14.9,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,14.9,15
673600000,,0,0.0,156.4,2.0,35.2,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,35.2,36
673610000,,0,0.0,,0.0,0.0,209.2,4.0,4.0,343.2,,0.0,0.0,,0.0,0.0,343.2,344
673620000,,0,0.0,,0.0,0.0,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,524.8,525
673630000,,0,0.0,904.5,9.2,203.5,52.6,1.0,1.0,86.2,,0.0,0.0,,0.0,0.0,289.7,290
673640000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673650102,,0,0.0,1108.6,8.9,249.4,160.0,3.0,3.0,262.4,,0.0,0.0,,0.0,0.0,511.8,512
673650103,,0,0.0,166.3,1.3,37.4,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,37.4,38
