value,destination_zone,origin_zone
10025,63,63
10026,7,7
10027,5,5
10028,4,4
10029,15,15
11001,51,49
11002,42,43
11003,128,125
11004,99,100
11005,57,57
11006,40,40
11007,58,58
11008,19,18
11009,154,152
11010,11,11
11011,21,21
11012,10,10
11013,99,101
11014,80,80
11015,24,24
12001,63,64
12002,78,77
12003,36,36
12004,78,78
12005,71,69
12006,56,56
12007,80,80
12008,40,40
12009,48,50
12010,24,24
12011,34,34
13001,58,58
13002,87,86
13003,52,51
13004,3,4
13005,121,124
13006,57,57
13007,58,59
13008,70,71
13009,10,10
13010,26,27
13011,59,60
13012,4,4
14001,100,98
14002,67,67
14003,49,48
14004,33,32
14005,124,121
14006,30,30
14007,36,35
14008,70,72
15001,7,8
15002,66,67
15003,52,52
15004,102,101
15005,18,19
15006,80,79
15007,25,24
15008,2,2
15009,12,12
16001,51,51
16002,63,62
16003,45,46
16004,13,13
16005,69,67
16006,37,38
16007,79,81
16008,37,37
16009,17,17
16010,43,44
16011,18,18
17002,175,173
17003,98,99
17004,14,14
17005,93,92
17006,93,93
17007,89,89
17008,3,3
17009,28,28
17010,120,121
17011,71,71
17012,1,1
18001,45,44
18002,43,43
18003,52,53
18004,71,72
18005,25,25
18006,86,86
18007,74,75
18008,71,72
18009,70,67
18010,6,6
18011,15,14
18012,1,1
18013,45,46
18014,23,23
19001,152,152
19002,42,39
19003,90,88
19004,82,82
19005,43,42
19006,39,38
19007,161,156
19008,60,61
19009,90,89
19010,50,50
19011,33,31
20001,16,18
20002,53,54
20003,60,58
20004,73,73
20005,7,7
20006,33,33
20007,90,87
20008,23,23
20009,72,73
20010,48,47
20011,44,44
20012,27,27
20013,22,22
21001,41,42
21002,28,28
21003,115,114
21004,82,82
21005,16,17
21006,47,49
21007,37,39
21008,70,71
21009,129,127
21010,55,55
21011,38,38
21012,2,2
22001,41,42
22002,47,48
22003,54,56
22004,89,90
22005,124,122
23001,44,42
23002,49,48
23003,58,58
23004,101,100
23005,110,110
23006,43,43
23007,6,6
23008,22,21
23009,55,55
23011,21,22
24001,27,26
24002,18,18
24003,88,90
24004,9,9
24005,4,4
24006,8,8
24007,18,18
24008,91,92
24009,27,27
24010,67,67
24011,59,59
24012,64,67
24013,4,4
24014,17,16
24015,40,38
24016,4,4
24017,32,32
24018,10,10
25001,31,31
25002,10,10
25003,6,6
25004,26,26
25005,28,29
25006,50,50
25007,113,111
25008,54,56
25009,36,35
25010,111,108
25011,69,69
25012,38,36
25013,68,67
25014,72,68
25015,55,55
25016,4,4
25017,7,7
25018,30,31
26001,12,12
26002,8,9
26003,20,21
26004,36,36
26005,7,7
26006,95,93
26007,64,65
26008,31,31
26009,59,59
26010,73,71
26011,48,48
26012,7,7
26013,3,3
26014,8,8
26015,2,2
27001,10,10
27002,22,23
27003,38,38
